The Best NBA Player's,,,,,,
Player Name,Position,Offense,Defense,Total,War Total,Pace Impact
Karl-Anthony Towns,2970,3.334100924,-1.116069852,2.218031072,3.592194763,0.877268523
Myles Turner,3053,-2.294800319,4.227352161,1.932551842,3.47352634,-0.073277349
Chris Boucher,2954,2.225437237,-0.19990149,2.025535747,3.440120851,-0.219431049
Pascal Siakam,3698,1.350374936,-0.331399604,1.018975332,3.412244138,-0.42467818
Richaun Holmes,3288,0.290605931,1.24047025,1.531076181,3.410982639,-0.472218834
Dejounte Murray,3851,0.878295875,-0.041672847,0.836623028,3.367079787,-0.543354491
Donte DiVincenzo,3417,0.681240351,0.732130339,1.41337069,3.359953645,1.017349937
Marcus Smart,2888,1.204757058,0.779237877,1.983994935,3.339352086,0.631078976
Luguentz Dort,2945,-1.260048802,3.172859318,1.912810516,3.334357425,0.043184798
Jarrett Allen,3213,-0.355692382,1.836198284,1.480505902,3.315265757,-0.161324202
T.J. McConnell,3197,1.066154515,0.529966706,1.596121221,3.307059071,0.436241029
Christian Wood,2599,-0.072364682,2.512880652,2.44051597,3.257386448,0.580724865
Anthony Davis,1783,2.014239936,2.625467703,4.639707639,3.256899708,0.216209485
Bobby Portis,2610,1.176571489,1.414256797,2.590828286,3.255396676,-0.362870503
Malcolm Brogdon,4036,2.046029299,-1.440459181,0.605570117,3.244629519,-1.198946854
Lonzo Ball,3134,2.163591154,-0.725232284,1.43835887,3.227723219,0.299513775
Jalen Brunson,2960,1.644541915,0.035871253,1.680413168,3.227208426,-0.791272487
Miles Bridges,3766,0.003176038,0.698702387,0.701878425,3.168572091,0.459314422
Jerami Grant,3728,0.875362913,-0.233662801,0.641700111,3.134830403,0.367586673
Rudy Gay,2422,-0.809445457,3.40567767,2.596232212,3.132860166,-0.038867885
Derrick Rose,2149,0.99391092,2.118949352,3.112860272,3.128743077,-0.954087378
Pat Connaughton,2889,-0.132743141,1.998642608,1.865899467,3.123183554,-0.441374701
Delon Wright,2912,0.803995048,0.7859144,1.589909448,3.113485631,-1.416757059
